DESCRIZIONE MATRICE (1°livello),DESCRIZIONE MATRICE (2° livello),Data inizio,Data fine,Comune di prelievo,Provincia,Nuclide,Attività specifica,Unità di misura,Column,Column2,* n.r.: non rilevabile (risultato inferiore alla sensibilità analitica),Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-01T08:25:00Z,2019-04-01T08:25:00Z,CERNUSCO SUL NAVIGLIO,MI,T-BETA,0.313,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-20T22:00:00Z,2019-10-20T22:00:00Z,CERNUSCO SUL NAVIGLIO,MI,RN-222,13.3,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-20T22:00:00Z,2019-10-20T22:00:00Z,CERNUSCO SUL NAVIGLIO,MI,T-ALFA,0.076,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-20T22:00:00Z,2019-10-20T22:00:00Z,CERNUSCO SUL NAVIGLIO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T07:45:00Z,2019-04-04T07:45:00Z,CINISELLO BALSAMO,MI,RN-222,4.0,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T07:45:00Z,2019-04-04T07:45:00Z,CINISELLO BALSAMO,MI,T-ALFA,0.032,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T07:45:00Z,2019-04-04T07:45:00Z,CINISELLO BALSAMO,MI,T-BETA,0.182,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-03T08:10:00Z,2019-10-03T08:10:00Z,CINISELLO BALSAMO,MI,RN-222,11.0,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-03T08:10:00Z,2019-10-03T08:10:00Z,CINISELLO BALSAMO,MI,T-ALFA,0.045,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-03T08:10:00Z,2019-10-03T08:10:00Z,CINISELLO BALSAMO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T08:55:00Z,2019-04-04T08:55:00Z,COLOGNO MONZESE,MI,RA-226,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T08:55:00Z,2019-04-04T08:55:00Z,COLOGNO MONZESE,MI,RN-222,9.8,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T08:55:00Z,2019-04-04T08:55:00Z,COLOGNO MONZESE,MI,T-ALFA,0.102,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T08:55:00Z,2019-04-04T08:55:00Z,COLOGNO MONZESE,MI,T-BETA,0.191,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T08:55:00Z,2019-04-04T08:55:00Z,COLOGNO MONZESE,MI,T-U,0.11,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T08:55:00Z,2019-04-04T08:55:00Z,COLOGNO MONZESE,MI,U-234,0.061,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-04T08:55:00Z,2019-04-04T08:55:00Z,COLOGNO MONZESE,MI,U-238,0.048,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-03T09:15:00Z,2019-10-03T09:15:00Z,COLOGNO MONZESE,MI,RN-222,10.4,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-03T09:15:00Z,2019-10-03T09:15:00Z,COLOGNO MONZESE,MI,T-ALFA,0.092,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-03T09:15:00Z,2019-10-03T09:15:00Z,COLOGNO MONZESE,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-05T06:55:00Z,2019-08-05T06:55:00Z,CORSICO,MI,RA-226,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-05T06:55:00Z,2019-08-05T06:55:00Z,CORSICO,MI,RN-222,15.4,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-05T06:55:00Z,2019-08-05T06:55:00Z,CORSICO,MI,T-ALFA,0.168,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-05T06:55:00Z,2019-08-05T06:55:00Z,CORSICO,MI,T-BETA,0.124,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-05T06:55:00Z,2019-08-05T06:55:00Z,CORSICO,MI,T-U,0.16,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-05T06:55:00Z,2019-08-05T06:55:00Z,CORSICO,MI,U-234,0.0958,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-05T06:55:00Z,2019-08-05T06:55:00Z,CORSICO,MI,U-238,0.0636,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-14T09:10:00Z,2019-11-14T09:10:00Z,CORSICO,MI,RA-226,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-14T09:10:00Z,2019-11-14T09:10:00Z,CORSICO,MI,RN-222,16.9,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-14T09:10:00Z,2019-11-14T09:10:00Z,CORSICO,MI,T-ALFA,0.184,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-14T09:10:00Z,2019-11-14T09:10:00Z,CORSICO,MI,T-BETA,0.151,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-14T09:10:00Z,2019-11-14T09:10:00Z,CORSICO,MI,T-U,0.17,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-14T09:10:00Z,2019-11-14T09:10:00Z,CORSICO,MI,U-234,0.1041,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-14T09:10:00Z,2019-11-14T09:10:00Z,CORSICO,MI,U-238,0.0662,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-11T07:40:00Z,2019-04-11T07:40:00Z,GARBAGNATE MILANESE,MI,RN-222,9.2,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-11T07:40:00Z,2019-04-11T07:40:00Z,GARBAGNATE MILANESE,MI,T-ALFA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-11T07:40:00Z,2019-04-11T07:40:00Z,GARBAGNATE MILANESE,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-17T08:00:00Z,2019-10-17T08:00:00Z,GARBAGNATE MILANESE,MI,RN-222,4.4,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-17T08:00:00Z,2019-10-17T08:00:00Z,GARBAGNATE MILANESE,MI,T-ALFA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-17T08:00:00Z,2019-10-17T08:00:00Z,GARBAGNATE MILANESE,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-11T07:15:00Z,2019-04-11T07:15:00Z,LAINATE,MI,RN-222,8.0,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-11T07:15:00Z,2019-04-11T07:15:00Z,LAINATE,MI,T-ALFA,0.064,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-11T07:15:00Z,2019-04-11T07:15:00Z,LAINATE,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-17T07:15:00Z,2019-10-17T07:15:00Z,LAINATE,MI,RN-222,6.2,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-17T07:15:00Z,2019-10-17T07:15:00Z,LAINATE,MI,T-ALFA,0.049,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-17T07:15:00Z,2019-10-17T07:15:00Z,LAINATE,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-18T07:45:00Z,2019-04-18T07:45:00Z,LEGNANO,MI,RN-222,10.2,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-18T07:45:00Z,2019-04-18T07:45:00Z,LEGNANO,MI,T-ALFA,0.158,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-18T07:45:00Z,2019-04-18T07:45:00Z,LEGNANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-18T07:45:00Z,2019-04-18T07:45:00Z,LEGNANO,MI,T-U,0.177,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-18T07:45:00Z,2019-04-18T07:45:00Z,LEGNANO,MI,U-234,0.1066,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-18T07:45:00Z,2019-04-18T07:45:00Z,LEGNANO,MI,U-238,0.0703,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-24T08:55:00Z,2019-10-24T08:55:00Z,LEGNANO,MI,RA-226,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-24T08:55:00Z,2019-10-24T08:55:00Z,LEGNANO,MI,RN-222,10.9,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-24T08:55:00Z,2019-10-24T08:55:00Z,LEGNANO,MI,T-ALFA,0.155,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-24T08:55:00Z,2019-10-24T08:55:00Z,LEGNANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-24T08:55:00Z,2019-10-24T08:55:00Z,LEGNANO,MI,T-U,0.18,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-24T08:55:00Z,2019-10-24T08:55:00Z,LEGNANO,MI,U-234,0.1042,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-24T08:55:00Z,2019-10-24T08:55:00Z,LEGNANO,MI,U-238,0.0759,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-01-02T14:30:00Z,2019-01-31T15:10:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-01-11T10:00:00Z,2019-01-11T10:00:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-01-11T10:00:00Z,2019-01-11T10:00:00Z,MILANO,MI,T-ALFA,0.095,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-01-11T10:00:00Z,2019-01-11T10:00:00Z,MILANO,MI,T-BETA,0.121,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-02-01T13:30:00Z,2019-02-28T15:30:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-02-06T10:45:00Z,2019-02-06T10:45:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-02-06T10:45:00Z,2019-02-06T10:45:00Z,MILANO,MI,T-ALFA,0.097,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-02-06T10:45:00Z,2019-02-06T10:45:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-03-01T14:00:00Z,2019-03-29T15:00:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-03-11T09:00:00Z,2019-03-11T09:00:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-03-11T09:00:00Z,2019-03-11T09:00:00Z,MILANO,MI,SR-90,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-03-11T09:00:00Z,2019-03-11T09:00:00Z,MILANO,MI,T-ALFA,0.09,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-03-11T09:00:00Z,2019-03-11T09:00:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-04-01T13:00:00Z,2019-04-30T14:00:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-10T09:30:00Z,2019-04-10T09:30:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-10T09:30:00Z,2019-04-10T09:30:00Z,MILANO,MI,T-ALFA,0.093,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-10T09:30:00Z,2019-04-10T09:30:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-05-03T13:00:00Z,2019-05-31T13:30:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-05-10T09:00:00Z,2019-05-10T09:00:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-05-10T09:00:00Z,2019-05-10T09:00:00Z,MILANO,MI,SR-90,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-05-10T09:00:00Z,2019-05-10T09:00:00Z,MILANO,MI,T-ALFA,0.09,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-05-10T09:00:00Z,2019-05-10T09:00:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-06-02T22:00:00Z,2019-06-27T22:00:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-06-11T10:00:00Z,2019-06-11T10:00:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-06-11T10:00:00Z,2019-06-11T10:00:00Z,MILANO,MI,T-ALFA,0.119,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-06-11T10:00:00Z,2019-06-11T10:00:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-07-01T13:00:00Z,2019-07-31T14:00:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-07-18T22:00:00Z,2019-07-18T22:00:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-07-18T22:00:00Z,2019-07-18T22:00:00Z,MILANO,MI,T-ALFA,0.091,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-07-18T22:00:00Z,2019-07-18T22:00:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-08-01T13:30:00Z,2019-08-26T13:00:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-21T09:00:00Z,2019-08-21T09:00:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-21T09:00:00Z,2019-08-21T09:00:00Z,MILANO,MI,SR-90,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-21T09:00:00Z,2019-08-21T09:00:00Z,MILANO,MI,T-ALFA,0.097,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-08-21T09:00:00Z,2019-08-21T09:00:00Z,MILANO,MI,T-BETA,0.089,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-09-09T13:00:00Z,2019-09-09T13:00:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-09-12T08:50:00Z,2019-09-12T08:50:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-09-12T08:50:00Z,2019-09-12T08:50:00Z,MILANO,MI,T-ALFA,0.091,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-09-12T08:50:00Z,2019-09-12T08:50:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-10-01T13:00:00Z,2019-10-31T08:30:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-09T09:50:00Z,2019-10-09T09:50:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-09T09:50:00Z,2019-10-09T09:50:00Z,MILANO,MI,T-ALFA,0.103,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-09T09:50:00Z,2019-10-09T09:50:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-10-31T14:00:00Z,2019-11-29T14:30:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-05T10:30:00Z,2019-11-05T10:30:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-05T10:30:00Z,2019-11-05T10:30:00Z,MILANO,MI,SR-90,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-05T10:30:00Z,2019-11-05T10:30:00Z,MILANO,MI,T-ALFA,0.06,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-11-05T10:30:00Z,2019-11-05T10:30:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE - mensile,2019-12-02T14:00:00Z,2019-12-30T14:00:00Z,MILANO,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-12-12T10:15:00Z,2019-12-12T10:15:00Z,MILANO,MI,H-3,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-12-12T10:15:00Z,2019-12-12T10:15:00Z,MILANO,MI,T-ALFA,0.104,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-12-12T10:15:00Z,2019-12-12T10:15:00Z,MILANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-11T08:35:00Z,2019-04-11T08:35:00Z,PADERNO DUGNANO,MI,RN-222,6.1,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-11T08:35:00Z,2019-04-11T08:35:00Z,PADERNO DUGNANO,MI,T-ALFA,0.056,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-11T08:35:00Z,2019-04-11T08:35:00Z,PADERNO DUGNANO,MI,T-BETA,0.289,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-12-17T09:00:00Z,2019-12-17T09:00:00Z,PADERNO DUGNANO,MI,RN-222,1.16,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-12-17T09:00:00Z,2019-12-17T09:00:00Z,PADERNO DUGNANO,MI,T-ALFA,0.056,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-12-17T09:00:00Z,2019-12-17T09:00:00Z,PADERNO DUGNANO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-18T07:00:00Z,2019-04-18T07:00:00Z,PARABIAGO,MI,RN-222,9.0,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-18T07:00:00Z,2019-04-18T07:00:00Z,PARABIAGO,MI,T-ALFA,0.088,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-04-18T07:00:00Z,2019-04-18T07:00:00Z,PARABIAGO,MI,T-BETA,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-24T08:20:00Z,2019-10-24T08:20:00Z,PARABIAGO,MI,RA-226,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA POTABILE,ACQUA POTABILE DI RETE DI DISTRIBUZIONE,2019-10-24T08:20:00Z,2019-10-24T08:20:00Z,PARABIAGO,MI,RN-222,6.1,BQ/L,,,,,,,,,,,,,,,,
