,BACINO IDROGRAFICO,LAGO,CORPO IDRICO,PROVINCIA,COMUNE,COORD X,COORD Y,Codice Stazione,Descrizione Profondità,Profondità,DATA CAMPIONAMENTO,PARAMETRO,CAS,UM,VALORE,ParameterIdentificationSystem
51,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Cromo totale,7440-47-3,µg-L,lt-2,CAS
52,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Durezza (totale),20001,mg-L-CaCO3,151.0,CAS
53,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Fluoruri,16984-48-8,µg-L,lt-500,CAS
54,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Fosforo Totale,7723-14-0,µg-L-P,21.0,CAS
55,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Magnesio,7439-95-4,mg-L,12.0,CAS
56,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Mercurio,7439-97-6,µg-L,lt-0.03,CAS
57,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Nichel,7440-02-0,µg-L,lt-2,CAS
58,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Ortofosfato,14265-44-2,µg-L-P,lt-4,CAS
59,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Ossigeno % di saturazione,3131-01-9,%-sat.,71.0,WISE
60,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Ossigeno disciolto,7782-44-7,mg-L-O2,5.9,CAS
61,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,pH,12408-02-5,pH,7.9,CAS
62,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Piombo,7439-92-1,µg-L,lt-1,CAS
63,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Potassio,7440-09-7,mg-L,0.9,CAS
64,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Rame,7440-50-8,µg-L,lt-5,CAS
65,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Silicati reattivi,1344-09-8,mg-L-SiO2,7.9,CAS
