"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"DATO:
DATI ANALITICI CORPI IDRICI FLUVIALI","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","CORPO IDRICO","PROVINCIA","COMUNE","COORD X","COORD Y","Codice Stazione","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080981IR","VA","Golasecca","473099","5061390","N0080981ir2","12/4/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080981IR","VA","Golasecca","473099","5061390","N0080981ir2","12/4/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080981IR","VA","Golasecca","473099","5061390","N0080981ir2","12/4/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080981IR","VA","Golasecca","473099","5061390","N0080981ir2","12/4/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080981IR","VA","Golasecca","473099","5061390","N0080981ir2","12/4/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080981IR","VA","Golasecca","473099","5061390","N0080981ir2","12/4/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0014"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080981IR","VA","Golasecca","473099","5061390","N0080981ir2","12/4/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080981IR","VA","Golasecca","473099","5061390","N0080981ir2","12/4/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,009"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,004"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","3/13/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0008"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","6/7/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,009"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,008"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","8/1/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0022"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"ADDA SUBLACUALE","Adda (Fiume)","IT03N00800112LO","LO","Montanaso Lombardo","538139","5020770","N00800112lo1","11/22/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,011"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,373"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,013"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,009"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0078"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","3/22/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,028"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,012"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,008"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,009"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0074"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","4/18/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,006"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,011"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","0,006"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,019"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0076"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,008"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","6/20/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,025"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,049"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,014"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,025"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","8/16/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,064"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,006"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,016"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,014"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,011"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","10/10/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,008"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,012"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0043"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080447LO","LO","Orio Litta","541817","5001482","N0080447lo1","12/5/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,026"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,006"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
