"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"DATO:
LIMeco","FONTE DATI: 
ARPA Lombardia","ANNO DI RIFERIMENTO:
2019","","NOTA:                                           Valutazione annuale provvisoria","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","PROVINCIA","COMUNE","LOCALIZZAZIONE","","TIPO DI MONITORAGGIO","LIMeco",""
"BREMBO","Enel (Canale) - Masnada (Roggia)","BG","Bonate Sotto","544493","5057350","sorveglianza","0.792","ELEVATO"
"BREMBO","Brembo (Fiume)","BG","Brembate di Sopra","545743","5062020","sorveglianza","0.766","ELEVATO"
"BREMBO","Brembo (Fiume)","BG","Canonica d'Adda","543083","5048610","operativo","0.552","BUONO"
"BREMBO","Ambriola (Torrente)","BG","Costa di Serina ","556640","5074400","sorveglianza","-","-"
"BREMBO","Dordo (Torrente)","BG","Filago","542943","5053210","sorveglianza","0.352","SUFFICIENTE"
"BREMBO","Brembo di Mezzoldo (Fiume)","BG","Lenna","552023","5087569","operativo","0.812","ELEVATO"
"BREMBO","Brembo di Carona (Fiume)","BG","Lenna","553183","5087809","sorveglianza","-","-"
"BREMBO","Brembilla (Roggia)","BG","Lurano","550178","5045285","operativo","0.385","SUFFICIENTE"
"BREMBO","Brembo di Mezzoldo (Fiume)","BG","Mezzoldo","551575","5096410","sorveglianza","-","-"
"BREMBO","Quisa (Torrente)","BG","Paladina","547703","5064400","operativo","0.391","SUFFICIENTE"
"BREMBO","Dordo (Torrente)","BG","Palazzago","542033","5063690","operativo","0.375","SUFFICIENTE"
"BREMBO","Enna (Torrente)","BG","San Giovanni Bianco","550689","5080303","sorveglianza","-","-"
"BREMBO","Imagna (Torrente)","BG","Ubiale Clanezzo","546893","5067600","operativo","0.719","ELEVATO"
"BREMBO","Quisa (Torrente)","BG","Valbrembo","547073","5062280","operativo","0.453","SUFFICIENTE"
"BREMBO","Val Nera (Torrente)","BG","Valnegra","553704","5088668","sorveglianza","0.812","ELEVATO"
"BREMBO","Serina o Ambria (Torrente)","BG","Zogno","552953","5072929","operativo","0.781","ELEVATO"
"BREMBO","Valle Piazzatorre (Torrente)","BG","Piazzatorre","554468","5092950","sorveglianza","0.698","ELEVATO"
"BREMBO","Val Parina (Torrente)","BG","Oltre il Colle","560050","5082980","sorveglianza","0.648","BUONO"
"CHIESE SUBLACUALE","Abbioccolo (Torrente)","BS","Lavenone","611212","5067667","sorveglianza","0.750","ELEVATO"
"CHIESE SUBLACUALE","Chiese (Fiume)","BS","Barghe","608964","5060532","operativo","0.766","ELEVATO"
"CHIESE SUBLACUALE","Seriola Di Lonato - Arno (Canale)","BS","Bedizzole","611680","5038581","operativo","0.766","ELEVATO"
"CHIESE SUBLACUALE","Chiese (Fiume)","BS","Montichiari","608488","5028850","operativo","0.609","BUONO"
"CHIESE SUBLACUALE","Chiese (Fiume)","BS","Prevalle","611927","5043228","sorveglianza","0.646","BUONO"
"CHIESE SUBLACUALE","Nozza (Torrente)","BS","Vestone","607989","5061870","operativo","0.734","ELEVATO"
"CHIESE SUBLACUALE","Chiese (Fiume)","BS","Villanuova sul Clisi","612597","5050807","sorveglianza","0.750","ELEVATO"
"CHIESE SUBLACUALE","Agna (Torrente)","BS","Vobarno","616891","5056224","operativo","0.656","BUONO"
"CHIESE SUBLACUALE","Chiese (Fiume)","MN","Canneto sull'Oglio","611032","5001300","operativo","0.380","SUFFICIENTE"
"CHIESE SUBLACUALE","Tovere (Torrente)","BS","Mura","606068","5062074","sorveglianza","0.828","ELEVATO"
"CHIESE SUBLACUALE","Rudone (Rio)","BS","Nuvolento","607967","5044043","operativo","0.492","SUFFICIENTE"
"CHIESE SUBLACUALE","Vendra di Vallio (Torrente)","BS","Gavardo","611160","5050559","sorveglianza","0.633","BUONO"
"CHIESE SUBLACUALE","Tartaro Fabbrezza (Canale)","MN","Castel Goffredo","615457","5020768","operativo","0.656","BUONO"
"FISSERO-TARTARO","Derbasco (Canale)","MN","Roncoferraro","649751","4997270","operativo","0.406","SUFFICIENTE"
"FISSERO-TARTARO","Molinella (Canale)","MN","Roncoferraro","658850","4998410","operativo","0.352","SUFFICIENTE"
"FISSERO-TARTARO","Fissero (Canale) - Canalbianco (Canale)","MN","Serravalle a Po","665800","4995980","operativo","0.562","BUONO"
"FISSERO-TARTARO","Tione (Fiume)","MN","Villimpenta","659946","5001474","operativo","0.234","SCARSO"
"LAGO DI COMO (LARIO)","Perlo (Torrente)","CO","Bellagio-foce","519248","5091407","operativo","0.672","ELEVATO"
"LAGO DI COMO (LARIO)","Perlo (Torrente)","CO","Bellagio-Prà Filippo","517567","5086380","operativo","0.750","ELEVATO"
"LAGO DI COMO (LARIO)","Breggia (Torrente)","CO","Cernobbio","505668","5075716","sorveglianza","0.336","SUFFICIENTE"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","CO","Como","505774","5073331","operativo","0.323","SCARSO"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","CO","Como","508319","5072146","operativo","0.565","BUONO"
"LAGO DI COMO (LARIO)","Albano (Torrente)","CO","Dongo","521704","5108079","sorveglianza","-","-"
"LAGO DI COMO (LARIO)","Liro Caurga (Torrente)","CO","Dosso del Liro","518101","5112935","operativo","0.781","ELEVATO"
"LAGO DI COMO (LARIO)","Sanagra (Torrente)","CO","Grandola ed Uniti","516004","5103755","sorveglianza","0.906","ELEVATO"
"LAGO DI COMO (LARIO)","Liro (Torrente)","CO","Gravedona ed Uniti","518012","5112569","sorveglianza","-","-"
"LAGO DI COMO (LARIO)","Valle Di Villa (Torrente)","CO","Lezzeno","515997","5088410","sorveglianza","0.734","ELEVATO"
"LAGO DI COMO (LARIO)","Sanagra (Torrente)","CO","Menaggio","518689","5096691","operativo","0.812","ELEVATO"
"LAGO DI COMO (LARIO)","Pioverna (Torrente)","LC","Bellano","523112","5098758","operativo","0.680","ELEVATO"
"LAGO DI COMO (LARIO)","Pioverna (Torrente)","LC","Cortenova","528764","5095294","operativo","0.633","BUONO"
"LAGO DI COMO (LARIO)","Varrone (Torrente)","LC","Dervio","523079","5102174","sorveglianza","0.734","ELEVATO"
"LAGO DI COMO (LARIO)","Caldone (Torrente)","LC","Lecco","530850","5077755","operativo","0.445","SUFFICIENTE"
"LAGO DI COMO (LARIO)","Caldone (Torrente)","LC","Lecco","533282","5080311","operativo","0.698","ELEVATO"
"LAGO DI COMO (LARIO)","Grigna (Torrente)","LC","Lecco","533279","5080414","operativo","0.615","BUONO"
"LAGO DI COMO (LARIO)","Valle Meria (Torrente)","LC","Mandello del Lario-foce","524442","5084609","operativo","0.758","ELEVATO"
"LAGO DI COMO (LARIO)","Valle Meria (Torrente)","LC","Mandello del Lario -monte confluenza Val Mala","526895","5086871","operativo","0.781","ELEVATO"
"LAGO DI COMO (LARIO)","Pioverna occidentale (Torrente) ","LC","Pasturo","533501","5086435","sorveglianza","-","-"
"LAGO DI COMO (LARIO)","Pioverna orientale (Torrente) ","LC","Cremeno","535896","5086631","sorveglianza","0.711","ELEVATO"
"LAGO DI COMO (LARIO)","Varrone (Torrente)","LC","Premana","536350","5098542","sorveglianza","-","-"
"LAGO DI COMO (LARIO)","Varrone (Torrente)","LC","Premana","531990","5099808","operativo","0.695","ELEVATO"
"LAGO DI COMO (LARIO)","Rio Torto (Fiume)","LC","Valmadrera","528552","5077980","operativo","0.458","SUFFICIENTE"
"LAGO DI COMO (LARIO)","Esino (Torrente)","LC","Varenna","521911","5095719","operativo","0.508","BUONO"
"LAGO DI COMO (LARIO)","Gallavesa (Torrente)","LC","Vercurago","532454","5072804","operativo","0.586","BUONO"
"LAGO DI COMO (LARIO)","Tavani (Torrente)","LC","Colico","530137","5110704","sorveglianza","0.297","SCARSO"
"LAGO DI GARDA (BENACO)","San Giovanni (Torrente)","BS","Limone sul Garda","638864","5074721","operativo","0.734","ELEVATO"
"LAGO DI GARDA (BENACO)","Di Avigo (Rio)","BS","Manerba del Garda","620313","5045729","operativo","0.508","BUONO"
"LAGO DI GARDA (BENACO)","Toscolano (Torrente)","BS","Toscolano - Maderno","625460","5057308","operativo","0.781","ELEVATO"
"LAGO DI GARDA (BENACO)","Valle del Piles (Torrente)","BS","Tremosine","634502","5076577","sorveglianza","0.727","ELEVATO"
"LAGO DI GARDA (BENACO)","S.Michele (Torrente)","BS","Tremosine","632099","5073171","operativo","0.820","ELEVATO"
"LAGO DI LUGANO (CERESIO)","Civagno (Torrente)","CO","Bene Lario","514437","5097014","sorveglianza","0.812","ELEVATO"
"LAGO DI LUGANO (CERESIO)","Telo di Osteno (Torrente)","CO","Claino con Osteno","506609","5094808","operativo","0.586","BUONO"
"LAGO DI LUGANO (CERESIO)","Cuccio (Torrente)","CO","Porlezza","510076","5097491","sorveglianza","0.766","ELEVATO"
"LAGO DI LUGANO (CERESIO)","Rezzo (Torrente) - Valle del Cagna (Torrente)","CO","Porlezza","509431","5097902","operativo","0.812","ELEVATO"
"LAGO DI LUGANO (CERESIO)","Lagadone (Canale)","CO","Porlezza","510176","5097094","sorveglianza","-","-"
"LAGO DI LUGANO (CERESIO)","Solda (Torrente)","CO","Valsolda","504094","5096861","operativo","0.758","ELEVATO"
"LAGO DI LUGANO (CERESIO)","Bolletta  (Rio)","VA","Porto Ceresio","491874","5083620","operativo","0.393","SUFFICIENTE"
"LAGO D'IDRO (ERIDIO)","Caffaro (Fiume)","BS","Breno","613197","5086251","sorveglianza","0.828","ELEVATO"
"LAGO D'ISEO (SEBINO)","Borlezza (Torrente)","BG","Castro","582583","5072589","sorveglianza","0.641","BUONO"
"LAGO D'ISEO (SEBINO)","Oneto (Torrente)","BG","Castro","582146","5073235","operativo","0.828","ELEVATO"
"LAGO D'ISEO (SEBINO)","Valle di Rino (Torrente)","BG","Tavernola Bergamasca","581560","5072475","sorveglianza","0.719","ELEVATO"
"LAGO D'ISEO (SEBINO)","Italsider (Canale)","BS","Pisogne","586087","5073568","operativo","0.771","ELEVATO"
"LAGO D'ISEO (SEBINO)","Valle Trobiolo (Torrente)","BS","Pisogne","585985","572396","operativo","-","-"
"LAGO MAGGIORE (VERBANO)","Bardello (Fiume)","VA","Brebbia","471584","5076480","operativo","0.417","SUFFICIENTE"
"LAGO MAGGIORE (VERBANO)","Rancina (Torrente) - Caprera (Rio)","VA","Castello Cabiaglio","481532","5081730","sorveglianza","0.828","ELEVATO"
"LAGO MAGGIORE (VERBANO)","Brabbia (Canale)","VA","Cazzago Brabbia","477974","5071646","operativo","0.430","SUFFICIENTE"
"LAGO MAGGIORE (VERBANO)","Giona (Torrente)","VA"," Curiglia con Monteviasco","485999","5102671","sorveglianza","-","-"
"LAGO MAGGIORE (VERBANO)","Colmegno (Torrente)","VA","Dumenza","484059","5096986","sorveglianza","0.875","ELEVATO"
"LAGO MAGGIORE (VERBANO)","Grantorella (Torrente) - Margorabbia (Fiume)","VA","Ferrera di Varese","482703","5087020","operativo","0.562","BUONO"
"LAGO MAGGIORE (VERBANO)","Margorabbia (Fiume)","VA","Germignaga","479420","5093124","operativo","0.719","ELEVATO"
"LAGO MAGGIORE (VERBANO)","Boesio (Torrente)","VA","Laveno Mombello","470834","5083555","operativo","0.453","SUFFICIENTE"
"LAGO MAGGIORE (VERBANO)","Tresa (Fiume)","VA","Luino","480184","5093470","operativo","0.727","ELEVATO"
"LAGO MAGGIORE (VERBANO)","Colmegno (Torrente)","VA","Luino","480930","5096689","operativo","0.828","ELEVATO"
"LAMBRO","Lambro (Fiume)","CO","Castelmarte","518736","5076065","operativo","0.719","ELEVATO"
"LAMBRO","Bova (Torrente)","CO","Erba","515905","5074439","sorveglianza","0.727","ELEVATO"
"LAMBRO","Lambro (Fiume)","CO","Lasnigo","520450","5080954","operativo","0.812","ELEVATO"
"LAMBRO","Lambro (Fiume)","CO","Merone","518988","5068425","operativo","0.766","ELEVATO"
"LAMBRO","Bevera (Torrente)","LC","Costa Masnaga","520393","5068880","operativo","0.414","SUFFICIENTE"
"LAMBRO","Lisone (Cavo)","LO","Castiraga Vidardo","530982","5011585","operativo","0.275","SCARSO"
"LAMBRO","Sillaro Salerano","LO","Lodi Vecchio","532166","5016525","operativo","0.287","SCARSO"
"LAMBRO","Lambro (Fiume)","LO","Orio Litta","541817","5001482","sorveglianza","0.138","CATTIVO"
"LAMBRO","Lambro (Fiume)","LO","Sant'Angelo Lodigiano","532540","5010046","operativo","0.141","CATTIVO"
"LAMBRO","Sillaro (Torrente)","LO","Villanova del Sillaro ","537804","5009236","operativo","0.344","SUFFICIENTE"
"LAMBRO","Naviglio Martesana (Canale)","MI","Milano","519849","5039768","operativo","0.828","ELEVATO"
"LAMBRO","Lambro (Fiume)","MI","Peschiera Borromeo","520853","5032363","sorveglianza","0.281","SCARSO"
"LAMBRO","Redefossi (Cavo)","MI","San Donato Milanese","521127"," 5028353","operativo","0.227","SCARSO"
"LAMBRO","Vettabbia (Cavo)","MI","San Giuliano Milanese","524891","5023595","operativo","0.258","SCARSO"
"LAMBRO","Addetta (Colatore)","MI","Vizzolo Predabissi","526309","5023917","operativo","0.352","SUFFICIENTE"
"LAMBRO","Bevera (Rio)","MB","Briosco","518616","5063303","operativo","0.531","BUONO"
"LAMBRO","Pegorino (Torrente) - della Valle (Torrente)","MB","Correzzana","522463","5054924","sorveglianza","-","-"
"LAMBRO","Lambro (Fiume)","MB","Lesmo","523310","5053544","operativo","0.372","SUFFICIENTE"
"MELLA","Quinzanello (Vaso)","BS","Azzano Mella","586976","5035637","operativo","0.469","SUFFICIENTE"
"MELLA","Mella (Fiume)","BS","Bovegno","598197","5070538","operativo","0.750","ELEVATO"
"MELLA","Mella di Sarle (Torrente)","BS","Bovegno","599217","5071956","operativo","0.875","ELEVATO"
