"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"DATO:
DATI ANALITICI ACQUE SOTTERRANEE","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"GWB","PROVINCIA","COMUNE","CODICE PP","COORD X","COORD Y","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","5/14/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","5/14/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","6/26/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPBM","MN","Goito","PO0200260R0001","631534","5012399","10/24/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0003"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","5/16/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0004"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","6/28/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,031"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0003"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS BPPO","MN","Gonzaga","PO0200270R0053","646253","4978449","11/7/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","3/28/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","6/27/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPOM","MN","Mariana Mantovana","PO020032NR0001","616370","5003316","11/21/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","4/18/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","7/17/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,006"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPBM","MN","Marmirolo","PO0200330R0002","639065","5008516","10/29/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","4/18/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","7/10/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","11/27/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","11/27/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","11/27/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","MN","Medole","PO0200340R0001","618524","5022275","11/27/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
