PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
MILANO,MILANO,MI146.1478,EX POLI INDUSTRIA CHIMICA,"PIAZZA MARCO AGRIPPA, 1",aree industriali dismesse,9.18402698,45.43357166,POINT (9.18402698 45.43357166),alta
SONDRIO,MADESIMO,SO035.0002,Contaminazione sottosuolo,"PIAZZA GEMELLI, 7",n.d.,9.35990579,46.43805073,POINT (9.35990579 46.43805073),alta
MONZA E DELLA BRIANZA,LENTATE SUL SEVESO,MI119.0004,NUOVO IMPIANTO DI MANUTENZONE ROTABILI FERROVIE NORD,VIA XXIV MAGGIO,n.d.,9.13014789,45.66798388,POINT (9.13014789 45.66798388),alta
MILANO,MILANO,MI146.1001,MILANO CANTIERI S.r.l AREA EX AMBROSIA,"VIA BRUNICO, 16",aree industriali dismesse,9.2240164,45.51828713,POINT (9.2240164 45.51828713),alta
MILANO,CORNAREDO,MI087.0022,"SITO""CORNAREDO ALLA PK 117-066""",TRATTA LOCALITA' PK 117+300,aree industriali dismesse,9.02468384,45.48787748,POINT (9.02468384 45.48787748),bassa
MONZA E DELLA BRIANZA,CAPONAGO,MI047.0003,AREA EX PETROLDRAGON,VIA DELLA CHIMICA,aree industriali in attività,9.36062949,45.56656485,POINT (9.36062949 45.56656485),alta
MILANO,LACCHIARELLA,MI115.0004,Area Maros,"VIA LIGURIA, 3/5",aree industriali dismesse,9.15759075,45.31805198,POINT (9.15759075 45.31805198),bassa
MILANO,MILANO,MI146.2517,area Via Flumendosa,"VIA FLUMENDOSA, 22",n.d.,9.24623796,45.50503173,POINT (9.24623796 45.50503173),alta
CREMONA,CASALMAGGIORE,CR021.0002,ditta Riolfi Trasporti,"STRADA ALBARONE, 36",rilasci accidentali o dolosi di sostanze,10.42994929,44.99814535,POINT (10.42994929 44.99814535),alta
MILANO,BARANZATE,MI250.0049,AREA VIA MILANO,"VIA MILANO, 265",aree industriali dismesse,9.11548843,45.52273716,POINT (9.11548843 45.52273716),alta
MILANO,MILANO,MI146.3091,"AREA ALBERELLO - PII ROGOREDO-MONTECITY, RIPRISTINO AMBIENTALE",VIA DEL FUTURISMO,aree industriali dismesse,9.2422124,45.4349008,POINT (9.2422124 45.4349008),alta
MILANO,SAN GIULIANO MILANESE,MI195.0055,EX BERAUD,"VIA BASILICATA, 5",n.d.,9.25017272,45.39492553,POINT (9.25017272 45.39492553),alta
MILANO,NERVIANO,MI154.0011,EX CAVA,"VIA LOUIS PASTEUR, 10",aree industriali in attività,8.98786254,45.5468551,POINT (8.98786254 45.5468551),alta
MONZA E DELLA BRIANZA,AGRATE BRIANZA,MI003.0002,AREA SERVIZIO BRIANZA NORD - AUTOSTRADA A4 MI-BS,LOCALITA' CASCINA TRIVULZINA,attività minerarie o estrattive,9.39880209,45.57548397,POINT (9.39880209 45.57548397),alta
MILANO,PESCHIERA BORROMEO,MI171.0020,P.V. TAMOIL 2062,STRADA PROVINCIALE 415 PAULLESE,impianti di stoccaggio o adduzione carburanti,9.30461618,45.42605216,POINT (9.30461618 45.42605216),alta
BRESCIA,ISEO,BS085.0008,SCAVO STRADALE VIE PER ROVATO E PAOLO VI,VIA PER ROVATO E VIA PAOLO VI,rilasci accidentali o dolosi di sostanze,10.04193533,45.65564286,POINT (10.04193533 45.65564286),alta
COMO,COLVERDE,CO175.0004,PIANO DI INDAGINE AMBIENTALE RELATIVO AL COMPLESSO EX-FERRETTI,VIA PER SAN FERMO,aree industriali dismesse,9.00759804,45.81082373,POINT (9.00759804 45.81082373),alta
MILANO,MILANO,MI146.2397,Polo d'eccellenza per l'innovazione e il lavoro,"VIA LUIGI SODERINI, 24",n.d.,9.14281345,45.4567334,POINT (9.14281345 45.4567334),alta
MILANO,ABBIATEGRASSO,MI002.0001,COOPERATIVA EDILIZIA MONTEVERDI ACLI SRL (AREA EX NESTLE'),"VIALE ALESSANDRO MANZONI, 24",aree industriali dismesse,8.91829015,45.40104491,POINT (8.91829015 45.40104491),alta
MONZA E DELLA BRIANZA,VAREDO,MI231.0006,Area PL di Via San Michele,VIA SAN MICHELE,aree industriali dismesse,9.14903076,45.59700926,POINT (9.14903076 45.59700926),alta
PAVIA,MORTARA,PV102.0002,SVERSAMENTO ACCIDENTALE DI GASOLIO DA AUTOTRAZIONE,S.S.494 IN CORRISPONDENZA DELL'INTERSEZIONE CON LA EX S.S.211,rilasci accidentali o dolosi di sostanze,8.7199521,45.2492437,POINT (8.7199521 45.2492437),alta
PAVIA,PARONA,PV109.0001,EX PUNTO VENDITA TAMOIL PETROLI,S.P.N 192,impianti di stoccaggio o adduzione carburanti,8.75981929,45.28269674,POINT (8.75981929 45.28269674),bassa
BERGAMO,ROMANO DI LOMBARDIA,BG183.0004,EXIDE TECHNOLOGIES,"VIALE DANTE ALIGHIERI, 100/106",serbatoi carburante per riscaldamento,9.74625646,45.52769515,POINT (9.74625646 45.52769515),alta
MONZA E DELLA BRIANZA,MONZA,MB033.0052,EX FALEGNAMERIA PERELLI LUIGI,VIA MONTI E TOGNETTI,aree industriali dismesse,9.26619486,45.58825182,POINT (9.26619486 45.58825182),alta
MILANO,MILANO,MI146.0570,EFFEPIUNO S.r.l.,"VIA GAUDENZIO FANTOLI, 6/3",rilasci accidentali o dolosi di sostanze,9.2522981,45.45093374,POINT (9.2522981 45.45093374),alta
