PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,NOTE,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
MILANO,MILANO,MI146.4305,BETTINELLI 3 S.R.L.,"VIA FRATELLI ANGELO E MARIA BETTINELLI, 3",,aree industriali dismesse,9.17837975,45.4511956,POINT (9.17837975 45.4511956),alta
MILANO,MILANO,MI146.0008,"Società Sviluppo Linate - Montedison, ex area industriale",VIE CANDIANI 144 ANGOLO VIA BOVISASCA,,aree industriali dismesse,9.16901148,45.50445432,POINT (9.16901148 45.50445432),alta
SONDRIO,SONDRIO,SO061.0005,EX CONCESSIONARIO ALPICAR,"VIA TOMMASO NANI, 29",,altri siti non meglio specificati,9.88487937,46.16989709,POINT (9.88487937 46.16989709),alta
MILANO,MILANO,MI146.0192,Area Pirelli Bicocca-Collina dei Ciliegi,"VIALE SARCA, 136",(*),aree industriali dismesse,9.2063741,45.51135344,POINT (9.2063741 45.51135344),alta
MILANO,MILANO,MI146.4108,AREA VIA SILVA,"VIA GUGLIELMO SILVA, 27",,serbatoi carburante per riscaldamento,9.14839695,45.47927835,POINT (9.14839695 45.47927835),alta
MILANO,PERO,MI170.0036,EX VASCHE RHYTON,"VIA SEMPIONE, 195",,aree industriali dismesse,9.0812011,45.51337189,POINT (9.0812011 45.51337189),alta
MILANO,MILANO,MI146.0935,P.V. ERG MI192,"VIA SANTA RITA DA CASCIA, 60",,impianti di stoccaggio o adduzione carburanti,9.15271627,45.43884656,POINT (9.15271627 45.43884656),alta
VARESE,LAVENO - MOMBELLO,VA087.0005,"EX CERAMIFICIO RICHARD GINORI ""PONTE""",VIA BRUNO BUOZZI,,aree industriali dismesse,8.62329539,45.90473532,POINT (8.62329539 45.90473532),alta
MILANO,TREZZANO SUL NAVIGLIO,MI220.0027,BORMIOLO ROCCO SPA - VETROPACK,"VIA SAN CRISTOFORO, 51",,aree industriali in attività,9.08246322,45.41636948,POINT (9.08246322 45.41636948),alta
PAVIA,PAVIA,PV110.0006,PV 49080 AGIP,S.S.N 35 KM 88,,impianti di stoccaggio o adduzione carburanti,9.16560375,45.20076006,POINT (9.16560375 45.20076006),bassa
BRESCIA,MAZZANO,BS107.0002,Discarica di Ciliverghe,LOCALITA' CASCINA VIRLA NUOVA,,discariche autorizzate,10.3525919,45.50054737,POINT (10.3525919 45.50054737),bassa
BERGAMO,CURNO,BG089.0005,PVQ8 N. 0977,"S.S.S.S.342 BRIANTEA KM 4.885/VIA BERGAMO,36 36",,rilasci accidentali o dolosi di sostanze,9.59800964,45.69507798,POINT (9.59800964 45.69507798),alta
BERGAMO,BERGAMO,BG024.0114,SVERSAMENTO FURTO N.2 TAMOIL,VIA PER ZANICA,,aree agricole oggetto di spandimento incontrollato,9.6732206,45.68626323,POINT (9.6732206 45.68626323),alta
COMO,CADORAGO,CO036.0008,SVERSAMENTO GASOLIO ADS LARIO EST AUTOSTRADA A9 -Q8 -PETROLEUM,AUTOSTRADA A9 KM 27,,impianti di stoccaggio o adduzione carburanti,9.04788239,45.71029682,POINT (9.04788239 45.71029682),bassa
CREMONA,CREMA,CR035.0025,SMART BUILDINGS SRL,"VIA FRANCESCO CAVALLI, 53",,aree industriali dismesse,9.68339821,45.36732294,POINT (9.68339821 45.36732294),alta
PAVIA,VOGHERA,PV182.0001,SHELL NETMA UNO S.R.L. P.V. (CODICE 58.071),"PIAZZALE FRANCO QUARLERI, 5",(*),impianti di stoccaggio o adduzione carburanti,9.01630783,44.99643939,POINT (9.01630783 44.99643939),alta
BERGAMO,SPIRANO,BG206.0001,Area di Via Pace - ex Piazzola Ecologica,VIA PACE,,discariche autorizzate,9.6730342,45.58186924,POINT (9.6730342 45.58186924),alta
BERGAMO,SARNICO,BG193.0002,INDUSTRIE BRUNO STOPPANI RPS,"VIA MONTE GRAPPA, 3",,aree industriali dismesse,9.9634256,45.66834535,POINT (9.9634256 45.66834535),alta
COMO,DONGO,CO090.0003,A.F.L. DONGO S.p.A. - Sversamento Nafta del 09.08.2004,LOCALITA' BARBIGNANO,,rilasci accidentali o dolosi di sostanze,9.27180035,46.12555532,POINT (9.27180035 46.12555532),bassa
MANTOVA,,MN009.0003,RECUPERI INDUSTRIALI S.R.L.,VIA CASTELTRIVELLINO 13/15,,aree industriali in attività,,,,nd
MILANO,SEGRATE,MI205.0006,CENTRO DIREZIONALE MILANO DUE,VIA FRATELLI CERVI,,altri siti non meglio specificati,9.26658004,45.50409805,POINT (9.26658004 45.50409805),alta
MILANO,MILANO,MI146.0371,AREA CONDOMINIO - Serbatoio,"PIAZZALE VINCENZO CUOCO, 4",,rilasci accidentali o dolosi di sostanze,9.2244864,45.45086183,POINT (9.2244864 45.45086183),alta
VARESE,BUSTO ARSIZIO,VA026.0087,SOCIETÀ MANARA,VIA LUCIANO MANARA,,aree industriali dismesse,8.85480625,45.6103364,POINT (8.85480625 45.6103364),alta
MILANO,MILANO,MI146.3160,AREA FERRARI,VIA LAMPEDUSA ANGOLO CAMPAZZINO,,altri siti non meglio specificati,9.18772925,45.435916,POINT (9.18772925 45.435916),alta
MILANO,CERNUSCO SUL NAVIGLIO,MI070.0054,AREA SNAM RETE GAS ALLACCIAMENTO 3° PRESA,,(*),discariche abusive o incontrollate,9.33338365,45.52734238,POINT (9.33338365 45.52734238),bassa
MILANO,MILANO,MI146.1376,SCUOLE COMUNALI,"VIA PIER ALESSANDRO PARAVIA, 3",(*),serbatoi carburante per riscaldamento,9.1272235,45.46945095,POINT (9.1272235 45.46945095),alta
BRESCIA,BAGNOLO MELLA,BS009.0010,AUTOSTRADA A21 KM 227+175 - CARREGGIATA NORD - SVERSAMENTO OLIO IDRAULICO,AUTOSTRADA A21 KM 227+175,,rilasci accidentali o dolosi di sostanze,10.18457205,45.42124719,POINT (10.18457205 45.42124719),bassa
BRESCIA,DARFO BOARIO TERME,BS065.0016,DARFO TRADE RISULTANTE DA RETTIFICA CONFINI CON SITO LINEA ENERGIA (EX SAGETER),"VIA AGOSTINO BONARA, 12",,aree industriali dismesse,10.17946374,45.88458226,POINT (10.17946374 45.88458226),alta
LODI,LODI,LO031.0002,BAERLOCHER ITALIA SPA,"VIA SAN COLOMBANO, 62/A",,aree industriali in attività,9.50200661,45.30590683,POINT (9.50200661 45.30590683),alta
LECCO,LECCO,LC042.0009,DEPOSITO DI ROTTAMI FERROSI NELL'AREA DELLA DITTA RIVA,"VIA BELFIORE, 26",,operazioni di recupero rifiuti,9.40686065,45.85264085,POINT (9.40686065 45.85264085),alta
MILANO,ABBIATEGRASSO,MI002.0008,AUTODEMO,VIA PASCOLI ANG.FOGAZZARO,,aree industriali dismesse,8.92021186,45.38721539,POINT (8.92021186 45.38721539),alta
MILANO,MILANO,MI146.2616,AREA DI VIALE FORLANINI,"VIALE ENRICO FORLANINI, 65-75",,aree industriali dismesse,9.25481033,45.46198592,POINT (9.25481033 45.46198592),alta
PAVIA,BRESSANA BOTTARONE,PV023.0004,Ex P.V. TOTAL 1527,S.S.N.35 KM 77+900,,impianti di stoccaggio o adduzione carburanti,9.12506585,45.07879952,POINT (9.12506585 45.07879952),bassa
MILANO,BAREGGIO,MI012.0024,EFFRAZIONE OLEODOTTO SANNAZZARO - RHO,"VIA SAN CARLO, 1",,rilasci accidentali o dolosi di sostanze,9.00088135,45.48651339,POINT (9.00088135 45.48651339),alta
BRESCIA,GARDONE VALTROMPIA,BS075.0010,FABBRICA BERETTA - Reparto foratura Barrotti,"VIA PIETRO BERETTA, 18",,aree industriali in attività,10.18406514,45.6903106,POINT (10.18406514 45.6903106),alta
MILANO,MILANO,MI146.1200,PV CARBURANTI TOTALERG NI007763,"VIA GIOVANNI LORENZINI, 5",,impianti di stoccaggio o adduzione carburanti,9.2007206,45.44371214,POINT (9.2007206 45.44371214),alta
VARESE,UBOLDO,VA130.0003,Ditta ex LU.VE. SpA,"VIA CADUTI DELLA LIBERAZIONE, 53",,aree industriali in attività,8.996654,45.60157075,POINT (8.996654 45.60157075),alta
MILANO,BUCCINASCO,MI036.0015,"Area ""ex SOLFRENE"" Condominio","VIA BRUNO BUOZZI, 22",,aree industriali in attività,9.11386035,45.42595951,POINT (9.11386035 45.42595951),alta
BERGAMO,VERDELLINO,BG232.0004,NUOVA IGB SpA,"CORSO ITALIA, 20/G",,aree industriali in attività,9.6164397,45.59298384,POINT (9.6164397 45.59298384),alta
VARESE,SOMMA LOMBARDO,VA123.0014,SITO INDUSTRIALE DISMESSO,VIA GALILEO GALILEI,,aree industriali dismesse,8.71599865,45.68065155,POINT (8.71599865 45.68065155),alta
VARESE,MORNAGO,VA106.0004,Area VIA VITTORIO VENETO,VIA VITTORIO VENETO,,operazioni di recupero rifiuti,8.74657181,45.73110755,POINT (8.74657181 45.73110755),alta
MANTOVA,OSTIGLIA,MN038.0006,Donaldson Italia S.r.l.,VIA ABETONE BRENNERO 15,,aree industriali in attività,11.15065275,45.08532743,POINT (11.15065275 45.08532743),bassa
MILANO,PREGNANA MILANESE,MI179.0003,EX VASCHE DI SPAGLIAMENTO DELLA FOGNATURA COMUNALE,,(*),aree di spagliamento reflui fognari,9.0040884,45.51458255,POINT (9.0040884 45.51458255),bassa
MILANO,MILANO,MI146.4206,SEDE A2A,"PIAZZA TRENTO, 13",,altri siti non meglio specificati,9.20199295,45.44656374,POINT (9.20199295 45.44656374),alta
LECCO,BRIVIO,LC010.0003,"3924 Gruppo SAL spa , ex-GEPLAST, EX ITALPLASTIC",VIA MASTRO GIORGIO,,altri siti non meglio specificati,9.42679165,45.73449657,POINT (9.42679165 45.73449657),alta
MONZA E DELLA BRIANZA,MONZA,MI149.0059,AUTORICAMBIMONZA,"VIA FABIO FILZI, 4",,aree industriali dismesse,9.28136787,45.58888134,POINT (9.28136787 45.58888134),alta
MILANO,MILANO,MI146.4268,ANTIRION SGR SPA,"VIA ANTONIO TOLOMEO TRIVULZIO, 8",,aree industriali dismesse,9.14704276,45.46613501,POINT (9.14704276 45.46613501),alta
MILANO,PARABIAGO,MI168.0040,Immobiliare Fulvia S.S. del Sempione,S.S.33 DEL SEMPIONE 78,(*),aree industriali in attività,8.9432874,45.54745438,POINT (8.9432874 45.54745438),bassa
MONZA E DELLA BRIANZA,CARATE BRIANZA,MB015.0005,PUNTO VENDITA Q8 N. 1129,S.S.36,,impianti di stoccaggio o adduzione carburanti,9.2364053,45.6683385,POINT (9.2364053 45.6683385),bassa
MILANO,ROZZANO,MI189.0046,"Area Industriale Fallimento Rodacromo, Fallimento Cromos Metalli S.r.l., Soc. Italchimici spa","VIA BRENTA, 18B",,aree industriali dismesse,9.16671874,45.39784508,POINT (9.16671874 45.39784508),alta
MILANO,MILANO,MI146.2769,AREA CONDOMINIO - Serbatoio,"VIA LIUTPRANDO, 9",,altri siti non meglio specificati,9.17694376,45.43614957,POINT (9.17694376 45.43614957),alta
LECCO,CASSAGO BRIANZA,LC017.0002,area ex SALVIT - area serbatoio interrato,VIA ALESSANDRO VOLTA,(*),aree industriali dismesse,9.29156268,45.73949021,POINT (9.29156268 45.73949021),alta
MILANO,MILANO,MI146.4338,AREA VIA FONTANA 20 - FILCASA,"VIA FONTANA, 20",,altri siti non meglio specificati,9.20531491,45.46150681,POINT (9.20531491 45.46150681),alta
MILANO,MILANO,MI146.3010,"AREA ""FONTAMARCO""","VIA FELICE PERUSSIA, 1",,aree industriali dismesse,9.18507774,45.43301027,POINT (9.18507774 45.43301027),alta
MILANO,MILANO,MI146.0650,P.V. SHELL N. 49.459,"VIA CESARE LOMBROSO, 20",,impianti di stoccaggio o adduzione carburanti,9.22678531,45.45616978,POINT (9.22678531 45.45616978),alta
MILANO,CASARILE,MI055.0003,Piano recupero ZR4,"VIA BINASCO, 76",,aree industriali dismesse,9.10558845,45.31828124,POINT (9.10558845 45.31828124),alta
MILANO,SESTO SAN GIOVANNI,MI209.0009,"ex PRODEL, ditta ORVEM - rimozione serbatoi","VIA SACCO E VANZETTI, 34",(*),rilasci accidentali o dolosi di sostanze,9.25611807,45.5311065,POINT (9.25611807 45.5311065),alta
LECCO,MANDELLO DEL LARIO,LC046.0003,Insediamento industriale ex MOTO GUZZI,"VIA ERNESTO V. PARODI, 57",,aree industriali in attività,9.32078085,45.91773629,POINT (9.32078085 45.91773629),alta
VARESE,CASSANO MAGNAGO,VA040.0006,CROMATURA CASSANESE S.N.C.,"VIA ACHILLE GRANDI, 22",(*),aree industriali in attività,8.83463482,45.66859965,POINT (8.83463482 45.66859965),alta
BRESCIA,BRESCIA,BS029.0215,AMPLIAMENTO AREA INDUSTRIALE BMB,VIA ROSELLI 12,,aree industriali in attività,10.16372094,45.51600704,POINT (10.16372094 45.51600704),alta
