PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,NOTE,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
MILANO,MILANO,MI146.0717,Area EX ITALVER,VIE PARABIAGO 19/BUSTO ARSIZIO 36 19,(*),aree industriali dismesse,9.10939736,45.50102649,POINT (9.10939736 45.50102649),alta
VARESE,ALBIZZATE,VA002.0003,LAMBERTI SPA,"VIA PIAVE, 18",,aree industriali in attività,8.80638206,45.72744471,POINT (8.80638206 45.72744471),alta
BERGAMO,BERGAMO,BG024.0052,ITIB,VIA CRISTOFORO BAIONI,,impianti di stoccaggio o adduzione carburanti,9.67745725,45.70609664,POINT (9.67745725 45.70609664),alta
MILANO,TREZZO SULL ADDA,MI221.0003,DITTA FORNACE LATERIZI,VIA FRANCESCO GUARNERIO,,smaltimenti non autorizzati - abbandono rifiuti,9.51467495,45.60951752,POINT (9.51467495 45.60951752),alta
BERGAMO,TREVIGLIO,BG219.0002,EX STABILIMENTO BASLINI S.P.A. ORA HABITA SRL,"PIAZZALE ERNESTO BASLINI, 1",,aree industriali in attività,9.58461189,45.51636049,POINT (9.58461189 45.51636049),alta
COMO,COMO,CO075.0102,EX STAMPERIA DI CAMERIATA,"VIA MARCO CUMANO, 16",,aree industriali dismesse,9.08785739,45.78581696,POINT (9.08785739 45.78581696),alta
MILANO,CORBETTA,MI085.0006,RITROVAMENTO RIFIUTI INTERRATI,CASCINA MALPAGA,,smaltimenti non autorizzati - abbandono rifiuti,8.90991446,45.46867438,POINT (8.90991446 45.46867438),alta
MANTOVA,SAN GIACOMO DELLE SEGNATE,MN056.0003,C.A.L.V. CONSORZIO AGRARIO LOMBARDO VENETO - DISMISSIONE DEPOSITO OLI MINERALI,"VIA UGO RONCADA, 3",,altri siti non meglio specificati,11.03454254,44.97069841,POINT (11.03454254 44.97069841),alta
MILANO,MILANO,MI146.0407,KUWAIT P.V. 1941,"VIA DEL MARE, 30",,impianti di stoccaggio o adduzione carburanti,9.15860528,45.42210363,POINT (9.15860528 45.42210363),alta
MILANO,MILANO,MI146.4290,MARMIFICIO CERTOSA EX,"VIALE CERTOSA, 135",,aree industriali dismesse,9.1390034,45.49558068,POINT (9.1390034 45.49558068),alta
MILANO,MILANO,MI146.0187,"PV 49096, SHELL ITALIA SPA","VIALE MARCHE, 62",(*),impianti di stoccaggio o adduzione carburanti,9.19159571,45.49646276,POINT (9.19159571 45.49646276),alta
MILANO,MILANO,MI146.2703,Scuola comunale - serbatoio interrato,"VIA VITTORIA COLONNA, 42",(*),serbatoi carburante per riscaldamento,9.15006606,45.46819688,POINT (9.15006606 45.46819688),alta
BRESCIA,ORZINUOVI,BS125.0004,PV ESSO 1324,"VIALE ADUA, 26",,impianti di stoccaggio o adduzione carburanti,9.93238549,45.40898434,POINT (9.93238549 45.40898434),alta
MILANO,MILANO,MI146.3044,AREA VIA ROVELLO,"VIA ROVELLO, 14",,altri siti non meglio specificati,9.18391212,45.46794032,POINT (9.18391212 45.46794032),alta
BERGAMO,CIVIDATE AL PIANO,BG076.0002,OLIFER ACP Acciaierie di Cividate,"CASCINA MOTTA ALTA, 14",,aree industriali in attività,9.8290044,45.52550657,POINT (9.8290044 45.52550657),bassa
VARESE,CARNAGO,VA033.0005,Sversamento gasolio uso civile,"VIA PROFESSORE GIOVANNI CASTIGLIONI, 6",,serbatoi carburante per riscaldamento,8.83601568,45.72181957,POINT (8.83601568 45.72181957),alta
SONDRIO,SONDRIO,SO061.0002,EX COTONIFICIO FOSSATI,"VIA FELICE FOSSATI, 1",,aree industriali dismesse,9.87200266,46.17504744,POINT (9.87200266 46.17504744),alta
PAVIA,VALEGGIO,PV167.0001,"SVERSAMENTO KEROSENE, OLEODOTTO ENI",LOCALITA' CASCINA CARDINALA,(*),rilasci accidentali o dolosi di sostanze,8.8727795,45.14913257,POINT (8.8727795 45.14913257),bassa
LODI,CRESPIATICA,LO025.0003,EX SAINT GOBAIN ISOVER ITALIA ORA DITTA OTIL,"VIA DANTE ALIGHIERI, 76",,aree industriali dismesse,9.5781108,45.34760418,POINT (9.5781108 45.34760418),alta
MILANO,MILANO,MI146.1096,Area condominiale - Serbatoi centrale termica,VIA DELLA MARNA,,altri siti non meglio specificati,9.17256654,45.52449563,POINT (9.17256654 45.52449563),alta
LECCO,LECCO,LC042.0049,area ex discarica,VIALE DON GIOVANNI TICOZZI,,altri siti non meglio specificati,9.40776089,45.83432409,POINT (9.40776089 45.83432409),alta
MILANO,OPERA,MI159.0003,AREA EX PROTER - Proprietà RECORDATI S.P.A. - NUOVA VALLAMBROSIA - ora FARMAOPERA SPA,VIA LAMBRO,,aree industriali dismesse,9.20837989,45.36995925,POINT (9.20837989 45.36995925),alta
MILANO,MILANO,MI146.0493,"AREA I.T.I.S. ""GIORGI""","VIALE LIGURIA, 21",,altri siti non meglio specificati,9.17066979,45.44402544,POINT (9.17066979 45.44402544),alta
BRESCIA,BRESCIA,BS029.0196,SISA - PV TANGENZIALE OVEST,TANGENZIALE OVEST,,altri siti non meglio specificati,10.16804469,45.51143115,POINT (10.16804469 45.51143115),alta
MILANO,CARPIANO,MI050.0007,Stazione di Servizio SODIN SRL,S.S.PROVINCIALE BINASCO-MELEGNANO,(*),aree industriali in attività,9.2733005,45.34550468,POINT (9.2733005 45.34550468),bassa
MILANO,MILANO,MI146.4257,AREA DI VIA COLLEONI,"VIA BARTOLOMEO COLLEONI, 14",,altri siti non meglio specificati,9.15298975,45.48227174,POINT (9.15298975 45.48227174),alta
VARESE,SARONNO,VA119.0054,VIA MANTEGAZZA,"VIA PAOLO MANTEGAZZA, 9",,aree industriali dismesse,9.02166598,45.62542433,POINT (9.02166598 45.62542433),alta
MILANO,MILANO,MI146.4184,REALIZZAZIONE DI NUOVO VOLUME OSPEDALIERO - P.O. BUZZI - INDAGINI PRELIMINARI,"VIA LODOVICO CASTELVETRO, 22",,altri siti non meglio specificati,9.16494566,45.48513226,POINT (9.16494566 45.48513226),alta
BERGAMO,ZANDOBBIO,BG244.0001,M.B.A. SRL,LOC.VALLE DEL SEI,,attività minerarie o estrattive,9.8626683,45.68538127,POINT (9.8626683 45.68538127),alta
MILANO,MILANO,MI146.2469,"AREE VIA ORTLES 36, VEZZA D'OGLIO 3-8 ADAMELLO 5 E OROBIA 4-16","VIA ADAMELLO,5-7,OROBIA,4-16,VEZZA D'OGLIO 3-8,ORTLES,36",,aree industriali dismesse,9.15933654,45.46819153,POINT (9.15933654 45.46819153),bassa
CREMONA,CREMONA,CR036.0071,DITTA FRAGNI s.r.l.,"VIA DELLE INDUSTRIE, 34",,aree industriali in attività,9.99319676,45.14804437,POINT (9.99319676 45.14804437),alta
MILANO,RHO,MI182.0014,RIPA SAS,"VIA TRENTO, 41",(*),operazioni di recupero rifiuti,9.03975026,45.54818364,POINT (9.03975026 45.54818364),alta
MILANO,SEDRIANO,MI204.0005,BORLETTI EX AREA INDUSTRIALE,VIALE EUROPA,,aree industriali dismesse,8.97720443,45.48877743,POINT (8.97720443 45.48877743),alta
VARESE,GALLARATE,VA070.0066,AREA EX TESSITURA MAZZUCCHELLI,VIE PASUBIO/PACINOTTI,,aree industriali dismesse,8.80394738,45.65350489,POINT (8.80394738 45.65350489),alta
MILANO,MILANO,MI146.4035,EX PV TOTAL ERG,"VIA DELLA CHIESA ROSSA, 267",,impianti di stoccaggio o adduzione carburanti,9.16323454,45.41329275,POINT (9.16323454 45.41329275),alta
MILANO,MILANO,MI146.4321,EX GARAGE SAN REMO,"VIA ZECCA VECCHIA, 3",,altri siti non meglio specificati,9.18441485,45.4623794,POINT (9.18441485 45.4623794),alta
MILANO,MILANO,MI146.2946,RIMOZIONE RIFIUTI INTERRATI,"VIA POMPEO MARIANI, 10",,aree industriali dismesse,9.23315648,45.51084871,POINT (9.23315648 45.51084871),alta
MONZA E DELLA BRIANZA,CONCOREZZO,MI084.0002,DITTA ICROM,"VIA DELLE ARTI, 33",,aree industriali in attività,9.32594817,45.58282448,POINT (9.32594817 45.58282448),alta
VARESE,CISLAGO,VA050.0004,Area Via Vismara,VIA VISMARA-S.P.N.21 S.N.,,discariche abusive o incontrollate,8.96611085,45.66343639,POINT (8.96611085 45.66343639),alta
LECCO,CALOLZIOCORTE,LC013.0012,EX AREA STOCCAGGIO ROTTAMI,"VIA PADRI SERVITI, 11",,operazioni di recupero rifiuti,9.43381228,45.7919708,POINT (9.43381228 45.7919708),alta
BRESCIA,CASTEGNATO,BS040.0005,FONDERIA F.LLI GERVASONI SPA,"VIA MOLINO, 16",,aree industriali dismesse,10.10445325,45.55963745,POINT (10.10445325 45.55963745),alta
MILANO,CERNUSCO SUL NAVIGLIO,MI070.0037,EX COOPERATIVA INTERMEDIA,"VIA PASUBIO, 4",,aree industriali dismesse,9.3348895,45.5338693,POINT (9.3348895 45.5338693),alta
PAVIA,TROMELLO,PV164.0011,SVERSAMENTO OLIO TRASFORMATORE ENEL PER FURTO DEL 03/04/2017,S.P.GAMBOLO'/TROMELLO,(*),rilasci accidentali o dolosi di sostanze,8.87300239,45.21298147,POINT (8.87300239 45.21298147),alta
MONZA E DELLA BRIANZA,MONZA,MI149.0001,EX CAVA NEL CIMITERO CENTRALE DI MONZA,VIA MENTANA,,smaltimenti non autorizzati - abbandono rifiuti,9.27597923,45.57752093,POINT (9.27597923 45.57752093),alta
MILANO,MILANO,MI146.4331,AREA VIA TORTONA,"VIA TORTONA, 31",,aree industriali dismesse,9.16306428,45.45186825,POINT (9.16306428 45.45186825),alta
MILANO,SESTO SAN GIOVANNI,MI209.0044,AREA EX ENICHEM / soc. AREE srl,"VIA BERNARDINO LUINI, 241",,aree industriali dismesse,9.24701479,45.54966045,POINT (9.24701479 45.54966045),alta
PAVIA,CASTEGGIO,PV037.0005,EX P.V. ESSO N. 0236,"VIA EMILIA, 103",,impianti di stoccaggio o adduzione carburanti,9.13202475,45.01708754,POINT (9.13202475 45.01708754),alta
MILANO,MILANO,MI146.3861,AREA IMMOBILIARE BILANCIAPRIMA SRL,"VIA ADAMELLO, 10",,altri siti non meglio specificati,9.20308475,45.4441492,POINT (9.20308475 45.4441492),alta
